TIC,m_TIC,BJD0,e_BJD0,Per,e_Per,Morph,Wp-pf,Dp-pf,Phip-pf,Ws-pf,Ds-pf,Phis-pf,Wp-2g,Dp-2g,Phip-2g,Ws-2g,Ds-2g,Phis-2g,Sectors,UpDate,tesseb_source
115443990,1,1354.582159,0.003404315,0.7553465,3.28826e-06,0.627,0.17,0.328,0.9956,0.177,0.056,0.496,0.2815,0.38,0.0001413,0.301,0.096,0.5,"2,29",2021-09-16T17:40:21,J/ApJS/258/16/tess-ebs
115481900,1,1684.989858,0.0005526377,3.3060948,0.00086195142,0.604,0.048,0.026,0.4988,0.052,0.025,0.999,0.07211,0.035,0.5,0.076,0.034,0.9993,14,2021-09-16T17:37:31,J/ApJS/258/16/tess-ebs
115693377,1,1361.572409,0.0003114766,4.9279264,0.00014498457,0.238,0.018,0.03,1.0,,,,0.02917,0.042,8.87e-05,,,,2,2021-09-16T17:39:14,J/ApJS/258/16/tess-ebs
115920747,1,1906.842881,0.001374024,7.9350688,0.00041623336,0.188,0.019,0.021,1.0,,,,0.03397,0.037,0.9999,,,,22,2021-09-16T17:39:02,J/ApJS/258/16/tess-ebs
115971584,1,1983.722925,4.377649e-05,0.3469337,1.8601569e-06,0.834,0.153,0.103,0.9993,0.179,0.096,0.502,0.3225,0.182,0.9994,0.309,0.175,0.5,"25,26",2021-09-16T17:41:33,J/ApJS/258/16/tess-ebs
115980439,1,1815.740137,0.0001908753,2.3077775,4.0093344e-05,0.479,,,1.001,,,0.045,0.1175,0.098,0.0005491,,,,19,2021-09-16T17:38:31,J/ApJS/258/16/tess-ebs
116161302,1,1986.255441,3.852198e-05,2.5320807,4.5867145e-05,0.572,0.128,0.626,1.0,0.114,0.078,0.5,0.2067,0.724,2.701e-06,0.182,0.144,0.4993,"25,26",2021-09-16T17:41:33,J/ApJS/258/16/tess-ebs
116163356,1,1984.353693,0.002047686,1.1814961,2.0147046e-05,0.824,0.165,0.115,0.9984,,,,,,,,,,"25,26",2021-09-16T17:41:33,J/ApJS/258/16/tess-ebs
116374184,1,1791.521855,0.0002652819,1.7889812,4.980014e-05,0.497,0.087,0.071,1.0,,,,0.1277,0.082,0.0001094,,,,18,2021-09-16T17:38:15,J/ApJS/258/16/tess-ebs
116380226,1,1934.282831,0.001334909,15.3229639,0.00068212149,0.14,0.014,0.013,1.0,,,,0.02575,0.026,7.678e-05,,,,"23,24",2021-09-16T17:39:11,J/ApJS/258/16/tess-ebs
116417661,1,1354.566086,9.765321e-05,2.2776724,3.546889e-05,0.481,0.067,0.162,0.9999,0.071,0.021,0.501,0.1041,0.163,0.9998,0.107,0.024,0.5,2,2021-09-16T17:39:20,J/ApJS/258/16/tess-ebs
116484192,1,1929.580085,0.0004012816,0.2764742,1.3022511e-07,0.788,0.119,0.093,1.001,0.13,0.065,0.502,0.3006,0.205,0.9991,0.273,0.18,0.5022,"23,24",2021-09-16T17:39:10,J/ApJS/258/16/tess-ebs
116502572,1,1930.981364,0.0001852413,3.9329568,8.68266e-05,0.553,0.105,0.581,1.0,0.096,0.093,0.499,0.1594,0.677,0.9999,0.16,0.154,0.4994,"23,24",2021-09-16T17:39:08,J/ApJS/258/16/tess-ebs
