HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457147.58518,2015-05-05.0845260,be,1.51,15.066,11.801,0.012,73.065,0.765,V
2457148.57594,2015-05-06.0753024,be,1.48,15.366,11.750,0.008,76.558,0.577,V
2457148.57735,2015-05-06.0767150,be,1.47,15.317,11.755,0.008,76.209,0.604,V
2457152.48327,2015-05-09.9827125,be,1.40,14.749,11.771,0.015,75.091,1.007,V
2457152.48470,2015-05-09.9841393,be,1.39,15.159,11.755,0.010,76.159,0.697,V
2457153.47672,2015-05-10.9761796,be,1.61,15.470,11.772,0.007,74.986,0.530,V
2457153.47815,2015-05-10.9776094,be,1.61,15.460,11.773,0.007,74.987,0.530,V
2457156.51625,2015-05-14.0157667,be,1.45,15.438,11.738,0.007,77.383,0.544,V
2457156.51771,2015-05-14.0172278,be,1.43,15.427,11.750,0.007,76.491,0.546,V
2457159.47425,2015-05-16.9738371,be,1.53,15.440,11.749,0.007,76.554,0.538,V
2457159.47568,2015-05-16.9752629,be,1.59,15.453,11.743,0.008,77.096,0.543,V
2457161.49753,2015-05-18.9971612,be,1.41,15.470,11.828,0.008,71.270,0.522,V
2457161.49898,2015-05-18.9986057,be,1.47,15.460,11.804,0.008,72.812,0.523,V
2457164.46167,2015-05-21.9613586,be,1.59,14.859,11.770,0.014,75.154,0.912,V
2457164.46310,2015-05-21.9627865,be,1.60,14.657,11.785,0.016,74.069,1.095,V
2457165.47593,2015-05-22.9756438,be,1.38,14.253,11.793,0.024,73.566,1.587,V
2457165.47736,2015-05-22.9770682,be,1.45,14.618,11.778,0.018,74.586,1.200,V
2457166.45502,2015-05-23.9547482,be,1.45,15.409,11.721,0.007,78.670,0.546,V
2457166.45644,2015-05-23.9561703,be,1.44,15.430,11.730,0.007,78.027,0.549,V
2457167.48525,2015-05-24.9850009,be,1.53,15.427,11.760,0.007,75.846,0.542,V
2457167.48668,2015-05-24.9864292,be,1.47,15.461,11.774,0.007,74.852,0.534,V
2457170.50125,2015-05-28.0010688,be,1.47,15.408,11.734,0.007,77.680,0.560,V
2457170.50275,2015-05-28.0025648,be,1.48,15.388,11.738,0.008,77.351,0.573,V
2457174.48578,2015-05-31.9856813,be,1.49,15.313,11.738,0.008,77.401,0.604,V
2457174.48720,2015-05-31.9871089,be,1.50,15.309,11.736,0.009,77.535,0.613,V
2457181.47335,2015-06-07.9734076,be,1.42,15.495,11.835,0.008,70.767,0.530,V
2457181.47477,2015-06-07.9748392,be,1.45,15.477,11.829,0.008,71.161,0.515,V
2457185.45248,2015-06-11.9526259,be,2.48,15.365,11.801,0.009,73.064,0.587,V
2457185.45389,2015-06-11.9540346,be,2.41,15.356,11.797,0.009,73.290,0.606,V
2457185.46970,2015-06-11.9698453,be,2.22,15.412,11.835,0.009,70.811,0.571,V
2457185.47111,2015-06-11.9712600,be,2.20,15.433,11.837,0.008,70.611,0.547,V
2457186.45547,2015-06-12.9556423,be,1.66,15.391,11.731,0.008,77.897,0.577,V
2457186.45690,2015-06-12.9570682,be,1.66,15.427,11.742,0.008,77.078,0.556,V
2457187.45256,2015-06-13.9527461,be,1.53,15.396,11.778,0.009,74.623,0.569,V
2457187.45398,2015-06-13.9541658,be,1.54,15.407,11.776,0.008,74.760,0.554,V
2457187.46467,2015-06-13.9648604,be,1.49,15.443,11.785,0.007,74.143,0.537,V
2457187.46607,2015-06-13.9662645,be,1.54,15.443,11.790,0.008,73.758,0.539,V
2457188.44975,2015-06-14.9499674,be,1.60,15.353,11.753,0.009,76.335,0.590,V
2457188.45119,2015-06-14.9514049,be,1.62,15.389,11.760,0.009,75.803,0.577,V
2457188.46140,2015-06-14.9616179,be,1.52,15.422,11.763,0.008,75.612,0.561,V
2457188.46283,2015-06-14.9630414,be,1.49,15.431,11.760,0.008,75.851,0.555,V
2457189.45269,2015-06-15.9529239,be,2.10,15.387,11.825,0.009,71.425,0.570,V
2457189.45412,2015-06-15.9543623,be,2.10,15.374,11.810,0.009,72.440,0.579,V
2457253.93014,2015-08-19.4313952,be,1.53,15.335,11.767,0.009,75.377,0.614,V
2457253.93145,2015-08-19.4326976,be,1.55,15.234,11.755,0.009,76.185,0.644,V
2457255.92684,2015-08-21.4281017,be,1.66,15.292,11.758,0.008,75.984,0.614,V
2457255.92813,2015-08-21.4293950,be,1.64,15.109,11.747,0.011,76.712,0.736,V
2457255.92943,2015-08-21.4306951,be,1.70,15.243,11.764,0.010,75.571,0.666,V
